requirement_id,source,requirement,checkpoint,status,owner,automated_verification,evidence_path,remaining_work
"PRD-14","Week_3_AgentForge.pdf multi-agent capabilities","System generates, mutates, runs multi-turn attacks, evaluates consistently, prioritizes gaps, halts low-signal spend, and triggers regression","Final","partial","Orchestrator; Red Team; Judge; regression harness","Orchestrator, hosted Red-Team safe-composition, gateway, Runner, and queue tests","src/agentforge/agents; src/agentforge/runner.py; src/agentforge/storage/queue.py; tests/test_orchestrator.py; tests/test_runner_campaign.py","Hosted generation now emits one traced quarantined variant per frozen seed; add reviewed-corpus promotion, bounded novelty/search, and target-version-triggered regression execution. Verified-signal priority, cost/queue breakers, and regression trigger emission are implemented."
"PRD-15","Week_3_AgentForge.pdf evaluation and regression","Judge is independent of attack generation and never downgrades a deterministic confirmed exploit","Final","complete","Independent Judge","Judge invariant and injection tests","src/agentforge/agents/judge; tests/test_judge.py; tests/test_evidence_envelope.py","None; retain deterministic oracle precedence."
"PRD-16","Week_3_AgentForge.pdf model constraints","Model choices per role are deliberate and account for refusal behavior, capability, cost, and independence","Final","partial","Architecture; hosted configuration","Configuration, exact-route, token-parameter, adapter, and Runner-composition tests","ARCHITECTURE.md §8; src/agentforge/agents/hosted.py; src/agentforge/providers/openrouter.py; src/agentforge/runner.py; tests/test_runner_campaign.py","All four exact models/routes and role-specific token parameters are configured and composed in source; prove returned identities, physical attempts, and O→RT→Judge→Documentation order in one authorized deployed campaign."
"PRD-17","Week_3_AgentForge.pdf Red Team role","Red Team generates meaningful novel attacks, mutates partial successes, and supports multi-turn sequences","Final","partial","Red Team","Red-Team, seed-replay, traced-generation, and safe-composition tests","src/agentforge/agents/red_team; evals/seeds; tests/test_red_team_traced_generation.py; tests/test_runner_campaign.py","One traced variant per selected seed is generated but deliberately quarantined and not dispatched. Add review/promotion into a freshly authorized corpus, semantic novelty scoring, clustering, bounded refinement, confirmed-attack minimization, and live evidence."
"PRD-18","Week_3_AgentForge.pdf Judge role","Judge uses consistent criteria and is calibrated and drift-guarded against ground truth","Final","partial","Judge; calibration subsystem","Oracle-precedence, calibration, enablement, invalidation, identity-drift, and result-provenance tests","src/agentforge/agents/judge; evals/ground-truth; tests/test_judge_calibration.py; docs/security/RED_TEAMING_COVERAGE_REVIEW_2026-07-24.md","The security-owner calibration passed its thresholds only for its recorded identities; it is not human-enabled and those identities drift from the candidate's exact routes. Keep the model advisory/fail-closed and deterministic oracles decisive; calibration must not block a campaign."
"PRD-19","Week_3_AgentForge.pdf Orchestrator role","Orchestrator reads observability and directs campaigns by coverage gaps, findings, regressions, and cost","Final","complete","Orchestrator","Verified-snapshot, priority, budget, queue, redirect, duplicate, and Runner integration tests","src/agentforge/agents/orchestrator; src/agentforge/contracts/v1/orchestration_snapshot.json; src/agentforge/control_plane/store.py; tests/test_orchestrator.py","None; obtain a distinct-human-approved deployed trace without treating passive health as authorization."
"PRD-20","Week_3_AgentForge.pdf Documentation Agent","Documentation Agent autonomously converts confirmed exploits into structured reports","Final","complete","Documentation Agent","Confirmed-only, untrusted-verdict, sanitization, idempotence, storage, and Runner integration tests","src/agentforge/agents/documentation; tests/test_documentation_agent.py; tests/test_documentation_storage.py; tests/test_runner_campaign.py","None for draft generation; human approval is still required for publication."
"PRD-21","Week_3_AgentForge.pdf Documentation Agent fields","Reports contain unique ID, severity, description, clinical impact, minimal reproduction, observed/expected, remediation, status, and fix validation","Final","complete","Documentation Agent; vuln-report schema","Both-sided contract tests and generated-report validation","src/agentforge/contracts/v1/vuln_report.json; tests/test_documentation_agent.py; tests/contract/test_conformance.py","None; reports remain unpublished until human approval."
"PRD-22","Week_3_AgentForge.pdf Documentation quality bar","A senior security engineer can reproduce, validate, and fix from each report alone","Final","partial","Documentation Agent; independent reproduction","Report schema/storage tests; independent live reproduction still pending","docs/vulnerabilities/README.md; docs/vulnerabilities","Consume the security owner's final validation and independently reproduce each claimed genuine report; file presence or simulated triage does not prove reproducibility."
"PRD-23","Week_3_AgentForge.pdf regression harness","Versioned exploit store automatically replays confirmed cases and detects reappearance and cross-category regressions","Final","partial","Regression harness; Scheduler","Storage, admission, replay-planning, target-version trigger, and scheduler heartbeat tests","src/agentforge/regression; src/agentforge/scheduler.py; migrations/versions/0010_regression_replay.py; migrations/versions/0013_scheduler_regression_planning.py; tests/test_scheduler_regression.py","Execute authorization-bound replay plans through the durable queue, evaluate reappearance, and add cross-category regression analysis; planning alone is not execution."
"PRD-24","Week_3_AgentForge.pdf regression correctness","Regression admission and pass status require deterministic reproduction and passing for the right reason","Final","partial","Regression admission gate","Contract, admission-invariant, storage, and Runner tests","src/agentforge/contracts/v1/regression_disposition.json; src/agentforge/regression/admission.py; tests/test_regression_admission.py; tests/test_documentation_storage.py","Implement deterministic reproduction execution and the expected-safe oracle; current findings are explicitly pending and cannot claim admission."
"PRD-25","Week_3_AgentForge.pdf observability","Humans can answer coverage, pass/fail, resilience, lifecycle, cost, and agent-order questions","Final","complete","PostgreSQL read models; console","API/read-model, agent activity, target-request, physical-provider-lineage, query-back, and UI state tests","src/agentforge/api/read_models.py; src/agentforge/providers/lineage.py; scripts/verify_langfuse_campaign.py; console/src/screens/AgentToolScreens.tsx; tests/test_verify_langfuse_campaign.py; tests/test_runner_campaign.py","Deploy through migration 0018, query Langfuse back ID-for-ID, and retain unavailable/null/estimated states whenever telemetry or provider billing values were not observed."
"PRD-26","Week_3_AgentForge.pdf observability","Observability is the Orchestrator's decision substrate, not only a dashboard","Final","complete","Observability; Orchestrator","Hash-recomputation, duplicate/inconsistency rejection, priority, and Runner integration tests","src/agentforge/control_plane/store.py; src/agentforge/agents/orchestrator; tests/test_orchestrator.py; tests/test_runner_campaign.py","None; continue to exclude hash-invalid rows and raw spans from decisions."
"PRD-27","Week_3_AgentForge.pdf discovery remediation trust","Human gates and trust boundaries prevent autonomous critical publication or remediation","Final","partial","Approval control plane; Documentation Agent","Authentication, authorization, draft-only report, regression-block, and database-role tests","src/agentforge/control_plane; src/agentforge/agents/documentation; migrations/versions/0009_documentation_regression.py; tests/test_documentation_storage.py","The Documentation and regression paths are draft/blocked by construction; connect any future remediation command and run a two-real-user staging smoke."
"PRD-28","Week_3_AgentForge.pdf Engineering Requirements","Each case maps relevant OWASP Web and OWASP LLM risks","Final","partial","Eval schemas; coverage validator","Corpus schema validation","evals/seeds; docs/evidence/OWASP_COVERAGE_MATRIX.md","Expand beyond three live categories to every relevant Web and LLM category; add API and MITRE ATLAS mappings where applicable."
"PRD-29","Week_3_AgentForge.pdf submission","Repository includes setup, architecture overview, deployed links, and live-run instructions","Final","complete","README","Clean-install, package, route, and session-lifecycle smoke tests","README.md; docs/deployment/RAILWAY.md; docs/target/READINESS.md","Validate the documented expiry/rotation runbook during the first authorized live run."
"PRD-30","Week_3_AgentForge.pdf submission","USERS.md defines users, workflows, use cases, and why automation is appropriate","Final","complete","User documentation","Manual evidence audit","USERS.md","None."
"PRD-31","Week_3_AgentForge.pdf submission","A 3-5 minute demo video shows live attacks and key decisions","Final","missing","Human presenter","No video artifact exists","docs/demo/MVP_DEMO_SCRIPT.md","Record and retain the video after a human-authorized live campaign; ensure no PHI or credentials appear."
"PRD-32","Week_3_AgentForge.pdf submission","At least three distinct genuine vulnerability reports exist","Final","partial","Documentation Agent; security owner","Six report files exist; genuineness/final validation is owner-controlled","docs/vulnerabilities/README.md; docs/vulnerabilities","Consume the security owner's final evidence and count only independently reproducible reports backed by the authorized frozen-corpus campaign."
"PRD-33","Week_3_AgentForge.pdf submission","Actual development cost and 100/1K/10K/100K run projections include architectural changes and are not tokens times N","Final","partial","Cost model","Manual formula and evidence audit; authoritative inputs are explicitly unmeasured","docs/cost/COST_ANALYSIS.md","Populate the D17 model with actual development spend and measured token, compute, storage, egress, CI, power, and operator-time evidence from an authorized representative run."
"PRD-34","Week_3_AgentForge.pdf submission","Publicly accessible deployed platform runs live tests against the deployed target","Final","blocked","Railway platform; human campaign gate","Health/readiness/SPA probes; authorized-run preflight","README.md; docs/evidence/baseline/2026-07-22-final-integration.md","Public platform and target are healthy; a distinct human Approver must authorize the authoritative live campaign."
"PRD-35","Week_3_AgentForge.pdf submission","Final social post describes and shows the platform and tags GauntletAI","Final","missing","Human publisher","No publication check","docs/submission (absent)","Draft the post now; publication remains a human action after the live demo evidence exists."
"PRD-36","Week_3_AgentForge.pdf scenario objective","Platform continuously discovers, evaluates, reproduces, documents, prevents regressions, and adapts from coverage","Final","partial","Full runtime loop","Authoritative Runner, Orchestrator, Documentation, regression-disposition, and read-model tests","src/agentforge/runner.py; tests/test_runner_campaign.py; src/agentforge/agents/orchestrator; src/agentforge/agents/documentation","Complete deterministic regression replay and Judge calibration, then prove the feedback loop on a human-approved deployed run."
"PRD-37","Repository non-negotiable derived from healthcare scope","No real PHI appears in fixtures, prompts, logs, traces, reports, or screenshots","Every checkpoint","complete","Synthetic-data policy; secret/redaction gates","Synthetic-only policy, redaction, corpus, and gitleaks tests","evals/fixtures; src/agentforge/policy/gateway.py; tests/test_secrets_redaction.py; docs/evidence/baseline/2026-07-22-final-integration.md","None; keep every live campaign synthetic-only."
"OPT-01","Week_3_AgentForge.pdf Optional Engineering Deliverables","Every adversarial case is a boundary, invariant, or regression case","Final","complete","Eval schema and validator","Corpus validator","src/agentforge/evals/schemas/attack-case.v1.json; evals/seeds","None."
"OPT-02","Week_3_AgentForge.pdf Optional Engineering Deliverables","Build-versus-configure record evaluates security tools, platforms, coverage, cost, governance, and gaps","Defense","partial","ADR-0001","Manual ADR audit","docs/adrs/0001-build-vs-configure.md; docs/security/LLM_TOOLCHAIN.md","Add explicit licensing, CI, evidence portability, healthcare/privacy, and remaining-gap rows for every named commercial product and Burp Community/Pro."
"OPT-03","Week_3_AgentForge.pdf Optional Engineering Deliverables","Triage at least ten simulated critical/high/medium/false-positive findings with dispositions","Final","complete","Security-tool triage","Triage CLI and tests","docs/triage/SIMULATED_SCAN_TRIAGE.md; tests/security_tools/test_triage_cli.py","None; keep simulated provenance visibly separate from genuine findings."
"OPT-04","Week_3_AgentForge.pdf Optional Engineering Deliverables","Interface arbitration, contracts, migration notes, architecture review, evidence packets, and failure drills are present","Final","partial","Contracts; integration/evidence packets","Contract, migration, physical-lineage, and failure-path tests","contracts/v1; src/agentforge/contracts/v1; tests/contract; docs/integration/migration-notes; docs/integration/migrations/provider-call-lineage-v1.md; docs/integration/INTEGRATION_PACKET.md; docs/evidence/ato/README.md","Packets and migration/compatibility notes through 0018 exist; attach exact final suite results, remaining failure drills, and one deployed end-to-end trace."
"OPT-05","Week_3_AgentForge.pdf Optional Engineering Deliverables","Build one component, inherit another, and lead a contract-only cross-service integration","Final","partial","Integration lead","Offline end-to-end and contract tests","docs/integration/INTEGRATION_PACKET.md; tests/test_offline_e2e.py","Update the packet to current main and add proof of the independently built boundary operating through the published contract in deployed staging."
"OPT-06","Week_3_AgentForge.pdf Optional Engineering Deliverables","All inter-agent communication uses versioned published protocol contracts with both-sided tests","Final","complete","Contract registry","pytest tests/contract; publication set/byte-equality tests","contracts/v1; contracts/README.md; src/agentforge/contracts/v1; tests/contract/test_publication.py; tests/contract","None; retain the package-owned authority and CI-enforced byte-identical repository-root publication."
"OPT-07","Week_3_AgentForge.pdf Optional Engineering Deliverables","Distinct ATO-style packet contains diagrams, auth model, dependencies, scans, evals, and postmortem","Final","partial","Evidence packet","Evidence audit","docs/evidence/ato/README.md; docs/evidence/ato/ARCHITECTURE_DEPLOYMENT.md; docs/evidence/ato/DATA_FLOW_TRUST_BOUNDARIES.md; docs/evidence/ato/AUTHORIZATION_MODEL.md; docs/evidence/ato/DEPENDENCY_INVENTORY.md; docs/evidence/ato/SAMPLE_INCIDENT_POSTMORTEM.md","Packet structure is assembled; replace pre-release placeholders with the exact final deployment, scans, eval campaign, Langfuse reconciliation, rollback binding, and approval evidence."
"OPT-08","Week_3_AgentForge.pdf Optional Engineering Deliverables","Architecture discloses every AI role, independent verification/human gate, residual risk, and Judge drift correction","Final","partial","Architecture; evidence audit","Manual disclosure and source-composition audit","ARCHITECTURE.md §8; ARCHITECTURE.md §15; src/agentforge/runner.py; docs/security/RED_TEAMING_COVERAGE_REVIEW_2026-07-24.md","Source roles, quarantined Red-Team generation, deterministic authority, and model-Judge identity drift are disclosed; attach final security-owner evidence and reconcile it with exact deployed identities."
"OPT-09","Week_3_AgentForge.pdf Optional Engineering Deliverables","Integration packet includes interface diffs, ADRs, contract results, dependency map, and end-to-end proof","Final","partial","Integration packet","Contract, offline end-to-end, safe-composition, physical-lineage, and query-back tests","docs/integration/INTEGRATION_PACKET.md; docs/integration/migration-notes; docs/integration/migrations/provider-call-lineage-v1.md","Packet covers current interfaces, single-head 0018 migrations, exact routes, four-role parentage, and Langfuse reconciliation; bind the final commit/suite and attach the authorized deployed trace/query-back."
"OPT-10","Week_3_AgentForge.pdf Optional Engineering Deliverables","Breaking API changes require version bump, migration note, compatibility analysis, and both-sided test updates","Final","complete","Contract compatibility tooling","tests/contract/test_compat.py","src/agentforge/contracts/compat.py; tests/contract/test_compat.py","None unless a breaking change is proposed; human approval remains required."
"OPT-11","Week_3_AgentForge.pdf Optional Engineering Deliverables","Every agent defines typed success and known error responses","Final","complete","Contract error taxonomy","Contract conformance tests","src/agentforge/contracts/v1/errors.json; tests/contract","None for the published v1 set; expand alongside new agents and scanners."
"OPT-12","Week_3_AgentForge.pdf Optional Engineering Deliverables","Pagination, rate limits, auth, and backoff/queue/abort behavior are documented and enforced","Final","partial","API; gateway; queue; console authorization","Gateway, queue, auth, SSE cursor, exact-workload/ceiling, browser-expiry, and API tests","ARCHITECTURE.md; src/agentforge/policy; src/agentforge/storage/queue.py; src/agentforge/api/router.py; console/src/campaignAuthorization.ts; console/tests/campaign-authorization.test.ts; tests/test_queue.py","Exact workload caps must fit separate target ceilings and browser expiry exceeds timeout plus margin; SSE has a bounded cursor, while REST collections still need general stable pagination and measured external target/provider limits."
"OPT-13","Week_3_AgentForge.pdf Optional Engineering Deliverables","Exploit storage enforces required fields, uniqueness, referential integrity, privacy, and duplicate-sequence rejection","Final","complete","Storage; Documentation Agent","Contract, migration, content-address, idempotence, foreign-key, role, privacy, and duplicate tests","migrations/versions/0009_documentation_regression.py; src/agentforge/control_plane/store.py; tests/test_documentation_storage.py; tests/test_documentation_agent.py","None; retain draft-only publication state and content-addressed evidence linkage."
"OPT-14","Week_3_AgentForge.pdf Optional Engineering Deliverables","API versioning, migrations, durable queue, and workflow state are implemented","Final","complete","Contracts; Alembic; PostgreSQL queue","Contract, migration, queue concurrency/reaper/dead-letter tests","src/agentforge/contracts/v1; migrations; src/agentforge/storage/queue.py; tests/test_queue.py","None; retain expand/contract migration discipline."
"OPT-15","Week_3_AgentForge.pdf Optional Engineering Deliverables","Platform data model documents ingestion, validation, lineage, access, reporting, and publication control","Final","partial","Storage; control plane; architecture","Model, auth, control-plane, and lineage tests","ARCHITECTURE.md §6; src/agentforge/storage/models.py; src/agentforge/control_plane; docs/evidence/ato/AUTHORIZATION_MODEL.md; docs/evidence/ato/DATA_FLOW_TRUST_BOUNDARIES.md","Data-flow/auth artifacts now exist; bind them to final live lineage, role grants, retention/rollback evidence, and publication decisions."
"OPT-16","Week_3_AgentForge.pdf Optional Engineering Deliverables","SQL indexes and reproducible regression/query SLOs are documented and verified","Final","partial","Storage; future regression harness","Migration/index tests","migrations; tests/test_migrations.py","Measure and enforce severity/category/target-version query SLOs and full/critical-subset regression SLOs in CI."
"OPT-17","Week_3_AgentForge.pdf Optional Engineering Deliverables","Baseline CPU, memory, latency, and throughput are captured for 100 cases and full regression","Final","partial","Performance evidence","Pre-run Railway and storage baselines exist; representative 100-case result is pending","docs/evidence/performance/PRE_RUN_RAILWAY_METRICS_2026-07-24.md; docs/evidence/performance/PRE_RUN_STORAGE_BASELINE_2026-07-24.md","Integrate the security owner's deterministic 100-case baseline and any separately authorized live-load result; pre-run service/storage observations are not the required representative run."
"OPT-18","Week_3_AgentForge.pdf Optional Engineering Deliverables","Authorized 100-case live stress run records orchestration, LLM latency, storage throughput, bottleneck, and scaling change","Final","blocked","Performance harness; hosted workload limits; human live authorization","Only pre-run Railway/storage baselines exist. Candidate source accepts the exact 400-physical-attempt zero-retry shape; refuses its 800-attempt retry expansion and encoded-input widening; preflights cumulative role/global USD authority; source-tests an explicit staging-only 14,400/14,701-second run/grant profile; and revalidates queue/grant/deadlines before every external send. The current 1,800-second target exposes no extended option, the default Red-Team input policy is below current requests, and no exact frozen-corpus configuration is deployed","docs/evidence/performance/PRE_RUN_RAILWAY_METRICS_2026-07-24.md; docs/evidence/performance/PRE_RUN_STORAGE_BASELINE_2026-07-24.md; docs/evidence/provider/HOSTED_100_CAPACITY_PREFLIGHT_2026-07-24.md","Obtain the security owner's final frozen corpus; derive a new policy and target hash from its exact request shapes; bind human-approved call/token/USD/rate/timeout ceilings and a compatible session lease; stage and catalog-preflight that configuration; obtain explicit load authorization and distinct approval; run the bounded staging load; and integrate the security owner's bottleneck analysis."
"USR-01","User-locked requirement 2026-07-21","Host the full AgentForge platform on Railway","Final","partial","Railway topology","Public Web probes, service-identity evidence, and deployment config tests","README.md; docs/deployment/RAILWAY.md; docs/evidence/baseline/2026-07-22-final-integration.md","The older 23490ea/0013 topology is healthy; deploy and verify one exact final commit/schema across Web, Runner, Scheduler, and PostgreSQL."
"USR-02","User-locked requirement 2026-07-21","Require Clerk authentication for all meaningful human-facing access","Final","complete","Clerk auth boundary","Offline auth suite and deployed unauthenticated 401 probes","src/agentforge/auth; tests/auth; docs/evidence/baseline/2026-07-22-final-integration.md","None; perform an authenticated real-user smoke without recording tokens."
"USR-03","User-locked requirement 2026-07-21","Enforce Headshot RBAC with backend-verified custom Organization permissions","Final","partial","Auth permissions","Authorization, exact-role-set, and forged-claim tests","src/agentforge/auth/permissions.py; tests/auth/test_authorization.py; tests/auth/test_permissions.py","Verify exactly the Operator and Approver Clerk Organization role assignments in staging; remove retired roles. This is a human/admin-console action."
"USR-04","User-locked requirement 2026-07-21","Require two different humans for launch and approval/authorization","Final","blocked","Approval control plane; human Operator and Approver","Same-user denial, distinct-principal fixture, scope-revision, and DB-trigger tests","src/agentforge/control_plane; tests/auth; tests/control_plane","Perform the two-real-user staging approval and authorized campaign; do not paste session credentials into chat."
"USR-05","User-locked requirement 2026-07-21","Isolate staging and production","Final","partial","Configuration and Railway environments","Environment-isolation tests; public probes","src/agentforge/config.py; tests/test_config_env_isolation.py; README.md","Inspect Railway/Clerk bindings to prove separate databases, keys, origins, organizations, allowlists, and credentials."
"USR-06","User-locked requirement 2026-07-21","Expose only the Railway Web service publicly","Final","partial","Railway topology","No-listener tests, Web route inventory, public probes, and prior-release domain evidence","railway; tests/deployment; docs/deployment/RAILWAY.md","Only Web was public in the older observed release; re-prove the final release has no public Runner, Scheduler, PostgreSQL, queue-metric, or admin domain."
"USR-07","User-locked requirement 2026-07-21","Never treat human authentication as live-campaign authorization","Final","partial","Policy Gateway and exact-scope authorization","Gateway, coordinator, Runner, target-ceiling/exact-workload, browser-expiry, and auth tests","src/agentforge/policy/gateway.py; src/agentforge/campaign; src/agentforge/runner.py; console/src/campaignAuthorization.ts; console/tests/campaign-authorization.test.ts","Source requires exact target/allowlist/synthetic/corpus/hosted bindings plus workload, budget, rate, timeout, expiry, and abort limits; complete a deployed denial-at-each-gate drill and separately authorized bounded success trace."
"LEAD-01","Implementation-lead mission priority 1","Authoritative deployed end-to-end vertical slice persists evidence, verdict, finding, regression disposition, observability, and abort partials","Final","partial","Full runtime loop; human approval","Offline end-to-end, hosted safe-composition, physical-lineage, Runner, API, documentation, regression, and abort tests","src/agentforge/runner.py; src/agentforge/providers/lineage.py; tests/test_runner_campaign.py; docs/evidence/baseline/2026-07-22-final-integration.md","The source slice includes ordered four-role/provider lineage and quarantined Red-Team generation; a distinct Approver must authorize the exact staging campaign before deployed evidence can exist."
"LEAD-02","Implementation-lead mission priority 2","Common attack model and coverage-guided scanning engine support state, content, lineage, mappings, novelty, clustering, minimization, replay, and bounded search","Final","partial","AttackCase; Red Team","Corpus, Red-Team, mutation, and duplicate tests","src/agentforge/evals; src/agentforge/agents/red_team; evals","Extend the v1 attack model and Red Team with uploaded/retrieved content, reproduction history, full lineage, novelty/clustering/minimization, and low-signal bounded-search halt."
"LEAD-03","Implementation-lead mission priority 3","Security-tool ecosystem has governed adapters, normalized findings, retained hashes, console visibility, orchestration signals, and self-security extensions","Final","partial","Security tools; console","Scanner adapters/parsers, malformed-output, workbench, frontend, and fresh scan gates","src/agentforge/security_tools; docs/evidence/ato/SECURITY_TOOL_EVIDENCE.md; docs/evidence/baseline/2026-07-22-final-integration.md","Add Orchestrator consumption/correlation, historical evidence retention, SBOM/container/IaC/license/TLS/header checks, and release artifact integrity."
"LEAD-04","Implementation-lead mission priority 4","Orchestrator, Red Team, Judge, and Documentation agents each satisfy their full independent responsibilities","Final","partial","Runtime agents","Orchestrator, hosted Red-Team safe-composition, Judge, Documentation, physical-lineage, and Runner integration tests","src/agentforge/agents; src/agentforge/providers/lineage.py; src/agentforge/runner.py; tests/test_runner_campaign.py; tests/test_red_team_traced_generation.py","All four hosted roles are composed in source with O→RT→Judge→Documentation parentage; Red-Team output is quarantined and only the frozen seed dispatches. Consume final Judge/corpus evidence and prove exact deployed identities/order."
"LEAD-05","Implementation-lead mission priority 5","Regression, storage, queue, and observability implement full durability, lineage, triggers, alerts, costs, trends, and reappearance detection","Final","partial","Storage; queue; observability; regression","Queue, storage, migration, orchestration-trigger, disposition, trace, and read-model tests","src/agentforge/storage; src/agentforge/observability; src/agentforge/regression; console","Implement deterministic regression execution, target-version triggers, reappearance/cross-category detection, per-agent/campaign budget alerts, and measured SLOs."
"LEAD-06","Implementation-lead mission priority 6","All contracts and enumerated failure drills cover producer and consumer behavior fail-closed","Final","partial","Contracts; failure tests","Contract suite and broad failure-path unit tests","src/agentforge/contracts/v1; tests/contract; tests","Add typed schemas/tests for every expanded error, target-version-mid-campaign, observability/recorder/database failure, Judge disagreement/abstention/calibration invalidity, and scanner-version mismatch."
"LEAD-07","Implementation-lead mission priority 7","Every submission and ATO/integration/cost/performance/demo/devlog artifact is complete and evidence-grounded","Final","partial","Documentation and evidence workstreams","Evidence audit","SUBMISSION.md; docs/evidence/ato; docs/integration; docs/cost; docs/evidence/performance; docs/demo; docs/DEVLOG.md","The packet structures exist; attach exact final release/campaign/Langfuse/cost/performance evidence plus the real demo and social-post URLs."
"LEAD-08","Implementation-lead mission priority 8","Unit, contract, integration, deployment, security, migration, UI, browser, load, container, and release gates pass","Final","partial","CI and test suites","Fresh local baseline; GitHub Actions is authoritative; GitLab is an exact passive mirror","docs/evidence/baseline/2026-07-22-final-integration.md","Run every local gate on the exact final commit, obtain green GitHub Actions for that SHA, and mirror it unchanged to GitLab; a GitLab 403/no-runner is not a release failure."
"LEAD-09","Implementation-lead mission priority 9","Every live campaign enforces ownership, allowlist, adapter, synthetic data, secret reference, scope, caps, identities, readiness, evidence, and stop procedure","Final","blocked","Policy Gateway; human Operator/Approver","Preflight/gateway/coordinator/Runner tests","src/agentforge/campaign; src/agentforge/policy; tests/test_campaign_authorization.py","Human Approver must authorize the exact staging scope; then execute and audit one bounded campaign without revealing secrets."
